NeuroMiner Report: Import NiFTI/Analyze files 
Caller: Discovery data import
Date: 16-Jul-2021 08:53:17
OS: PCWIN64
===============================================================================================================================
wp1779_MRI_sMRI_400099.nii             | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp1642_MRI_sMRI_400100.nii             | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp1695_MRI_sMRI_400108.nii             | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp11827_MRI_sMRI_400136.nii            | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp14727_MRI_sMRI_400188.nii            | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp16287_MRI_sMRI_400200.nii            | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp15732_MRI_sMRI_400217.nii            | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp16125_MRI_sMRI_400224.nii            | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp17424_MRI_sMRI_400247.nii            | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp111219_MRI_sMRI_400252.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp18181_MRI_sMRI_400271.nii            | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp19796_MRI_sMRI_400299.nii            | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp110086_MRI_sMRI_400304.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp111809_MRI_sMRI_400310.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp111483_MRI_sMRI_400334.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp112944_MRI_sMRI_400354.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp113076_MRI_sMRI_400356.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp114727_MRI_sMRI_400358.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp114137_MRI_sMRI_400377.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp115676_MRI_sMRI_400393.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp117963_MRI_sMRI_400414.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp117689_MRI_sMRI_400421.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp119046_MRI_sMRI_400447.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp131201_MRI_sMRI_400466_version_1.nii | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp121108_MRI_sMRI_400486.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp125347_MRI_sMRI_400538.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp126173_MRI_sMRI_400545.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp126321_MRI_sMRI_400548_version_1.nii | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp126364_MRI_sMRI_400549.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp127654_MRI_sMRI_400567.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp130311_MRI_sMRI_400601.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp131918_MRI_sMRI_400622.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp132027_MRI_sMRI_400624.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp133450_MRI_sMRI_400639.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp134103_MRI_sMRI_400653.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp139446_MRI_sMRI_400708.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp141855_MRI_sMRI_400735.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp142199_MRI_sMRI_400743.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp142772_MRI_sMRI_400752.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp143331_MRI_sMRI_400753.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp144939_MRI_sMRI_400768.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp146963_MRI_sMRI_400782.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
